Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Year,Month,Day_of_Week,Day_Name,Is_Weekend,Quarter,Day_of_Month,Traffic Volume_Lag1,Traffic Volume_Lag7,Traffic Volume_Rolling7,Congestion Level_Lag1,Congestion Level_Lag7,Congestion Level_Rolling7,Average Speed_Lag1,Average Speed_Lag7,Average Speed_Rolling7,Speed_Volume_Ratio,Congestion_per_Incident,Road_Avg_Congestion,Area_Avg_Congestion,Congestion_Deviation
2022-01-08,Indiranagar,100 Feet Road,36384,28.18948342525119,1.5,100.0,100.0,2,122.768,15.071282145619122,75.6997422562674,73.99694173585618,103,Rain,No,2022,1,5,Saturday,1,1,8,24405.0,50590.0,37601.28571428572,82.95172415675621,100.0,92.65481359969542,29.84255885002768,50.23029856408026,44.347984990045454,0.7747769191197007,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-10,Indiranagar,100 Feet Road,43024,28.070948022040927,1.5,100.0,100.0,3,136.048,53.67015272736011,78.07070714948917,79.3304231587737,89,Overcast,No,2022,1,0,Monday,0,1,10,36384.0,22050.0,35571.857142857145,100.0,78.42982810236049,92.65481359969542,28.18948342525119,52.87084603742452,41.19929711306987,0.6524485873475485,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-11,Indiranagar,100 Feet Road,11423,20.0,1.0076769107292227,33.272930841567344,59.71789823122136,0,72.846,47.47170920168141,68.6080748806895,50.60603873219466,199,Clear,No,2022,1,1,Tuesday,0,1,11,43024.0,23457.0,38568.142857142855,100.0,87.20214293875112,95.73626672792963,28.070948022040927,38.86905317091622,37.656454539443644,1.7508535411012869,33.272930841567344,87.10741519077256,87.64189020088799,-53.83448434920521
2022-01-13,Indiranagar,100 Feet Road,11371,51.02477209439482,1.1034483339552157,31.197460401979253,55.157150648714975,1,72.742,24.34168919054988,95.11320312608164,93.97909274757646,218,Clear,No,2022,1,3,Thursday,0,1,13,11423.0,46199.0,36849.0,33.272930841567344,100.0,88.03209357118908,20.0,41.228499323474985,34.96087551502704,4.487272191926376,15.598730200989626,87.10741519077256,87.64189020088799,-55.9099547887933
2022-01-14,Indiranagar,100 Feet Road,24545,51.50381788721268,1.224176252392176,74.0364560509363,100.0,3,99.09,78.37602299574615,64.42882373305262,71.12742141559723,117,Overcast,No,2022,1,4,Friday,0,1,14,11371.0,49952.0,31873.571428571428,31.197460401979253,100.0,78.2031593429004,51.02477209439482,50.80134095075202,36.36034305372987,2.0983425498966257,18.509114012734074,87.10741519077256,87.64189020088799,-13.070959139836262
2022-01-15,Indiranagar,100 Feet Road,20081,52.32649360729083,1.291669395019779,69.98249963850546,100.0,1,90.162,57.10766356761027,71.01524697021674,65.31567493891063,109,Fog,No,2022,1,5,Saturday,1,1,15,24545.0,46556.0,28244.0,74.0364560509363,100.0,74.4940816358913,51.50381788721268,46.59329803364248,36.460696901795686,2.605771306572921,34.99124981925273,87.10741519077256,87.64189020088799,-17.124915552267097
2022-01-16,Indiranagar,100 Feet Road,37666,35.895806812552486,1.5,100.0,100.0,4,125.332,71.84253340902424,77.93276221477689,75.52162445021162,104,Clear,No,2022,1,6,Sunday,1,1,16,20081.0,24405.0,24461.85714285714,69.98249963850546,82.95172415675621,70.20586729853494,52.32649360729083,29.84255885002768,37.279724840888306,0.9530028888799578,20.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-17,Indiranagar,100 Feet Road,43778,45.58484543530325,1.5,100.0,100.0,1,137.55599999999998,35.20353261306848,98.27199261937145,75.02005728551006,98,Clear,No,2022,1,0,Monday,0,1,17,37666.0,36384.0,26356.285714285714,100.0,100.0,72.64133527614119,35.895806812552486,28.18948342525119,38.144474549820416,1.041272909573376,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-19,Indiranagar,100 Feet Road,37647,61.34222043649959,1.5,100.0,100.0,4,125.294,64.62558521048172,79.05342933204395,74.87699260730511,90,Clear,No,2022,1,2,Wednesday,0,1,19,43778.0,43024.0,27412.571428571428,100.0,100.0,72.64133527614119,45.58484543530325,28.070948022040927,40.62952626554214,1.6294052762902647,20.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-20,Indiranagar,100 Feet Road,34920,21.739523139179617,1.5,100.0,100.0,1,119.84,40.241324931615424,99.2147496376874,53.3751273341911,100,Windy,No,2022,1,3,Thursday,0,1,20,37647.0,11423.0,26644.428571428572,100.0,33.272930841567344,72.64133527614119,61.34222043649959,20.0,45.38256518189338,0.6225522090257622,50.0,87.10741519077256,87.64189020088799,12.892584809227444
